id,sentiment
"5371_3",1
"8102_1",0
"10914_8",1
"2366_7",1
"6383_3",0
"6635_10",0
"2907_4",0
"4941_10",1
"10692_4",0
"10150_3",0
"4750_7",1
"8912_10",0
"1116_9",0
"8361_4",0
"6487_1",0
"11318_1",0
"6908_2",0
"952_3",0
"1615_8",1
"12158_3",1
"2504_10",0
"1201_8",0
"12062_10",0
"7129_10",1
"2138_4",0
"6252_10",0
"1883_7",1
"10828_1",1
"7349_7",1
"2044_1",0
"605_8",1
"972_9",1
"4953_8",1
"4528_3",0
"2223_3",0
"692_8",1
"5313_7",0
"3259_7",0
"3628_8",1
"4374_10",1
"3678_8",1
"2268_1",0
"3043_8",1
"2163_4",0
"12172_3",0
"11715_7",1
"5809_10",1
"7481_10",1
"8031_1",0
"211_4",1
"6530_8",0
"8476_1",0
"11278_1",0
"11950_8",0
"3178_4",0
"8299_1",0
"757_8",1
"10448_1",0
"8454_3",0
"4250_8",1
"6804_7",0
"7207_7",0
"11097_9",0
"10001_4",0
"12481_8",1
"3847_4",1
"9033_4",1
"9695_1",0
"7934_3",0
"1846_8",0
"11444_10",0
"3790_1",0
"2901_7",0
"1131_7",0
"4046_1",0
"5172_9",0
"298_8",0
"11499_1",0
"8758_10",1
"2646_10",1
"4000_10",0
"3248_10",0
"4266_7",0
"9167_7",0
"3377_2",0
"12246_9",1
"7224_3",0
"6299_1",0
"8534_3",1
"11641_1",0
"3401_8",1
"7505_9",1
"10693_4",0
"9979_1",0
"391_8",1
"2621_4",1
"1686_10",1
"7564_1",0
"6434_7",1
"859_1",0
